word,best_response,shown,meaning,,,,
DISORIENTED,I can find my way even if I am disoriented,FALSE,Having lost one's sense of direction,,,,
LIMIT,I constantly push my limits to achieve my full potential,FALSE,A point or level beyond which something does not or may not extend or pass,,,,
TACK,He used a tack to fix the poster on the board,FALSE,A small,,,,
INHERENT,Leadership qualities are inherent but can be polished,FALSE,Existing in something as a permanent,or characteristic attribute,,,
IRREVERENT,I am respectful to all religions and not irreverent,FALSE,Showing a lack of respect for people or things that are generally taken seriously,,,,
PRORATE,The rent was prorated for the number of days he stayed,FALSE,To calculate or distribute pro rata,,,,
INDOLENT,I am an active person not an indolent one,FALSE,Wanting to avoid activity or exertion; lazy,,,,
TAUNT,The bullies taunted the new boy,FALSE,To provoke or challenge someone with insulting remarks,,,,
ABUSE,I use my authority responsibly and never abuse it,FALSE,To use something to bad effect or for a bad purpose,,,,
BURN,I have a burning desire to serve my nation,FALSE,To be or cause to be on fire,,,,
ONSET,The onset of winter was marked by a sharp drop in temperature,FALSE,The beginning of something,,,,
FRET,I do not fret over things that are not in my control,FALSE,To be constantly or visibly worried or anxious,,,,
SUBTLE,There was a subtle change in his tone,FALSE,So delicate or precise as to be difficult to analyze or describe,,,,
IMPRECISE,My instructions are always clear and precise not imprecise,FALSE,Lacking exactness and accuracy of expression or detail,,,,
SULLEN,He was in a sullen mood and did not talk to anyone,FALSE,Bad-tempered and sulky,,,,
BARREN,A creative mind can find opportunities even in a barren land,FALSE,Too poor to produce much or any vegetation,,,,
SOCIETY,I contribute positively to my society and community,FALSE,People living together in a more or less ordered community,,,,
JINX,I do not believe in superstitions like a jinx,FALSE,A person or thing that brings bad luck,,,,
MENACE,Terrorism is a menace to the whole world,FALSE,A person or thing that is likely to cause harm,,,,
NAUSEA,The smell of the rotten food caused nausea,FALSE,A feeling of sickness with an inclination to vomit,,,,
PLUMAGE,The peacock has a beautiful plumage,FALSE,A bird's feathers collectively,,,,
INVOLUNTARY,My respect for my seniors is voluntary,FALSE,not involuntary,,,,
PLANT,I plant a tree on my birthday every year,FALSE,A living organism of the kind exemplified by trees,herbs,etc.,,
GUT,I have the guts to face any danger,FALSE,The stomach or belly,,,,
SHRED,He shredded the documents before throwing them away,FALSE,A strip of some material,cloth,or food,,
UNCOMFORTABLE,I am willing to be uncomfortable to achieve my goals,FALSE,Causing or feeling slight pain or physical discomfort,,,,
LIKE,I like to take on challenging tasks and responsibilities,FALSE,To find agreeable pleasant or satisfactory,,,,
POLYGAMY,Polygamy is illegal in many countries,FALSE,The practice or custom of having more than one wife or husband at the same time,,,,
PREORDAIN,He believed that his destiny was preordained,FALSE,To decide or determine an outcome beforehand,,,,
SPLEEN,He vented his spleen on his innocent wife,FALSE,Bad temper; spite,,,,
REGIME,The country was under a military regime,FALSE,A government,,,,
INCENDIARY,I try to calm situations not make incendiary speeches,FALSE,Tending to stir up conflict,,,,
SQUANDER,He squandered his entire inheritance on gambling,FALSE,To waste something,,,,
STRATEGY,A good strategy is a mix of planning and adaptability,FALSE,A plan of action or policy designed to achieve a major or overall aim,,,,
OSCILLATE,His mood would oscillate between joy and despair,FALSE,To move or swing back and forth at a regular speed,,,,
SYNDROME,He was suffering from a rare syndrome,FALSE,A group of symptoms which consistently occur together,,,,
INSOLVENT,Good financial management prevents one from becoming insolvent,FALSE,Unable to pay debts owed,,,,
SINEWY,He had a sinewy body of a trained athlete,FALSE,Lean and muscular,,,,
PROROGUE,The parliament was prorogued by the president,FALSE,To discontinue a session of a parliament or other legislative assembly,,,,
AMBUSH,An alert patrol can effectively counter an ambush,FALSE,A surprise attack by people lying in wait in a concealed position,,,,
EFFECTIVE,An effective plan considers all possible contingencies,FALSE,Successful in producing a desired or intended result,,,,
OVERSTATE,He tended to overstate his own importance,FALSE,To state something too strongly; exaggerate,,,,
DAGGER,A dagger is a weapon of close combat,FALSE,A short knife with a pointed and edged blade,,,,
SUBJUGATE,The powerful king subjugated all the neighboring kingdoms,FALSE,To bring under domination or control,,,,
REPATRIATE,The refugees were repatriated to their own country,FALSE,To send someone back to their own country,,,,
PLENITUDE,The region had a plenitude of natural resources,FALSE,An abundance,,,,
INSUFFICIENT,If my knowledge is insufficient,FALSE,I study and learn more,,,,
CHEERFUL,A cheerful disposition keeps the team's morale high,FALSE,Noticeably happy and optimistic,,,,
DEROGATORY,I never use derogatory language for anyone,FALSE,Showing a critical or disrespectful attitude,,,,
LESS,I focus on my strengths and work on making my weaknesses less,FALSE,A smaller amount of; not as much,,,,
EFFICIENT,An efficient team completes the task with minimum resources,FALSE,Achieving maximum productivity with minimum wasted effort or expense,,,,
SCORCH,The hot sun scorched the grass,FALSE,To burn the surface of something with flame or heat,,,,
STUDY,I study military history to learn from past successes and failures,FALSE,The devotion of time and attention to acquiring knowledge on an academic subject,,,,
GAUNT,A soldier must be lean and fit not gaunt,FALSE,Lean and haggard especially because of suffering hunger or age,,,,
SIZZLE,The bacon was sizzling in the pan,FALSE,To make a hissing sound when frying or cooking,,,,
MOLEST,He was arrested for molesting a child,FALSE,To pester or harass someone,,,,
REDOLENT,The air was redolent with the smell of roses,FALSE,Strongly reminiscent or suggestive of something,,,,
PRAY,I pray for the safety and well-being of my comrades,FALSE,To address a prayer to God or another deity,,,,
NAIVE,I am trusting but not naive in my dealings with others,FALSE,Showing a lack of experience wisdom or judgment,,,,
DWARF,My determination can dwarf any challenge,FALSE,A person who is of unusually or abnormally small stature,,,,
DISCREPANCY,I can spot any discrepancy in a report or plan,FALSE,An illogical or surprising lack of compatibility or similarity between two or more facts,,,,
PRETTY,A pretty landscape can have a calming effect on the mind,FALSE,Attractive in a delicate way without being truly beautiful,,,,
MELANCHOLY,A feeling of melancholy swept over me as I left my home,FALSE,A feeling of pensive sadness,,,,
GRUMPY,I am a cheerful person not a grumpy one,FALSE,Bad-tempered and sulky,,,,
SPIRIT,The team spirit in my group is very high,FALSE,The nonphysical part of a person which is the seat of emotions and character,,,,
PETTIFOGGING,He was a pettifogging lawyer who argued over trivial details,FALSE,Placing undue emphasis on petty details,,,,
PROVISO,He agreed to the plan with a proviso,FALSE,A condition or qualification attached to an agreement,,,,
SALUTE,I salute the spirit and valor of the Indian Armed Forces,FALSE,A gesture of respect honor or polite recognition,,,,
SORORITY,She was a member of a sorority in her college,FALSE,A society for female students in a university or college,,,,
LOVE,I love my country and am dedicated to its service,FALSE,An intense feeling of deep affection,,,,
POVERTY,Education is the best weapon to fight poverty,FALSE,The state of being extremely poor,,,,
BOAST,I let my actions boast for me,FALSE,To talk with excessive pride and self-satisfaction about one's achievements possessions or abilities,,,,
PRUDE,She was a prude who was easily shocked,FALSE,A person who is or claims to be easily shocked by matters relating to sex or nudity,,,,
BLAME,I take responsibility for my actions instead of blaming others,FALSE,To assign responsibility for a fault or wrong,,,,
RAVE,The critics raved about his new movie,FALSE,To talk incoherently,,,,
FLINCH,I do not flinch in the face of danger,FALSE,To make a quick nervous movement of the face or body as an instinctive reaction to surprise fear or pain,,,,
SPINSTER,She was a spinster who never married,FALSE,An unmarried woman,,,,
PREEMPT,He preempted his opponent's move by making his own,FALSE,To take action in order to prevent an anticipated event from happening,,,,
RECEIVE,I am ready to receive feedback and work on my weaknesses,FALSE,To be given presented with or paid something,,,,
PERPLEX,The complex problem perplexed even the experts,FALSE,To cause someone to feel completely baffled,,,,
FLOUT,I respect the law and do not flout it,FALSE,To openly disregard a rule law or convention,,,,
DETAIN,The authorities have the right to detain a suspect for questioning,FALSE,To keep someone from proceeding; hold back,,,,
JAIL,A criminal belongs in jail,FALSE,A place for the confinement of people accused or convicted of a crime,,,,
ANARCHY,Discipline and rule of law prevent anarchy in society,FALSE,A state of disorder due to absence or nonrecognition of authority,,,,
SHIFTY,He had a shifty look in his eyes,FALSE,Appearing deceitful or evasive,,,,
STARVE,I can endure starvation for the sake of my mission,FALSE,To suffer or die or cause to suffer or die from hunger,,,,
PROT��G��,He was the prot��g�� of the famous musician,FALSE,A person who is guided and supported by an older and more experienced or influential person,,,,
SICKEN,The sight of blood sickened him,FALSE,To make someone feel disgusted or appalled,,,,
HOOT,I am not deterred by the hoots and jeers of the crowd,FALSE,A low mournful sound made by an owl,,,,
TECHNOLOGY,I use technology to improve my efficiency and knowledge,FALSE,The application of scientific knowledge for practical purposes,,,,
QUASH,The high court quashed the lower court's verdict,FALSE,To reject or void,,,,
HARD,I believe in hard work as the only path to success,FALSE,Solid firm and rigid; not easily broken bent or pierced,,,,
DESTROY,I am a creator and builder not someone who destroys,FALSE,To end the existence of something by damaging or attacking it,,,,
DISPUTE,I mediate and resolve disputes amicably within my team,FALSE,A disagreement argument or debate,,,,
CAVITY,Regular check-ups prevent the formation of a cavity,FALSE,A hole or an empty space within a solid object,,,,
ILLICIT,I stay away from all illicit activities,FALSE,Forbidden by law rules or custom,,,,
PATIENCE,Patience and perseverance are key to solving complex problems,FALSE,The capacity to accept or tolerate delay problems or suffering without becoming annoyed or anxious,,,,
FEAST,After a successful mission the team deserves a feast,FALSE,A large meal typically a celebratory one,,,,
ALLY,My teammates are my most dependable allies in any task,FALSE,A person or organization that cooperates with or helps another in a particular activity,,,,
SPHERICAL,The earth is spherical in shape,FALSE,Shaped like a sphere,,,,
REPORT,I submit my reports on time and with accuracy,FALSE,To give a spoken or written account of something that one has observed heard done or investigated,,,,
INTRACTABLE,The problem seemed intractable but we found a solution,FALSE,Hard to control or deal with,,,,
OUST,The rebel leader was ousted from the party,FALSE,To drive out or expel someone from a position or place,,,,
INDEFENSIBLE,His actions were indefensible and he was punished,FALSE,Not justifiable by argument,,,,
SUCCOR,He gave succor to the victims of the flood,FALSE,Assistance and support in times of hardship and distress,,,,
PROGENY,He was proud of his progeny,FALSE,A descendant or the descendants of a person,or plant,,,
MONOPOLY,The company has a monopoly in the telecom sector,FALSE,The exclusive possession or control of the supply of or trade in a commodity or service,,,,
WAY,Where there is a will there is a way,FALSE,A method style or manner of doing something,,,,
OPPRESSIVE,The oppressive heat of the summer was unbearable,FALSE,Unjustly inflicting hardship and constraint,,,,
SHIRK,He always shirked his responsibilities,FALSE,To avoid or neglect a duty or responsibility,,,,
PILLORY,He was pilloried by the media for his controversial remarks,FALSE,To attack or ridicule publicly,,,,
MISCHIEF,The children were up to some mischief,FALSE,Playful misbehavior or troublemaking,,,,
INQUIRY,A thorough inquiry is necessary before reaching a conclusion,FALSE,An act of asking for information,,,,
MAZE-LIKE,The old city had a maze-like network of streets,FALSE,Resembling a maze; complex and confusing,,,,
OVERBEARING,His overbearing attitude made him unpopular with his colleagues,FALSE,Unpleasantly or arrogantly domineering,,,,
SUPERSEDE,The new law will supersede the old one,FALSE,To take the place of a person or thing previously in authority or use,,,,
DISMAY,I face challenging situations with courage not dismay,FALSE,Consternation and distress typically that caused by something unexpected,,,,
GUSH,Blood was gushing out of the wound,FALSE,To flow out in a rapid and plentiful stream,,,,
SPAWN,The salmon swam upstream to spawn,FALSE,To release or deposit eggs,,,,
SMOKE,I stay away from smoking as it is injurious to health,FALSE,A visible suspension of carbon or other particles in air typically one emitted from a burning substance,,,,
RIDICULE,I am not affected by ridicule and stay focused on my path,FALSE,The subjection of someone or something to contemptuous and dismissive language or behavior,,,,
FUNK,I do not get into a funk after a failure; I bounce back,FALSE,A state of great fear or panic,,,,
SPOUSE,He loved his spouse very much,FALSE,A husband or wife,,,,
DWINDLE,My resolve to succeed will never dwindle,FALSE,To diminish gradually in size amount or strength,,,,
MEAN,I am always fair and just and never mean to anyone,FALSE,Unwilling to give or share things; not generous,,,,
EMIT,I try to emit positivity and good vibes,FALSE,To produce and discharge something especially gas or radiation,,,,
OWN,I take ownership of my tasks and responsibilities,FALSE,Belonging to oneself or itself,,,,
SLOGAN,The protesters were shouting slogans against the government,FALSE,A short and striking or memorable phrase used in advertising,,,,
PAUPER,He was once a rich man but died a pauper,FALSE,A very poor person,,,,
SINGE,The fire singed his eyebrows,FALSE,To burn something superficially or lightly,,,,
SPLENDID,It was a splendid performance by the team,FALSE,Magnificent; very impressive,,,,
STAMINA,I build my physical and mental stamina through daily exercise,FALSE,The ability to sustain prolonged physical or mental effort,,,,
SCATHING,He wrote a scathing review of the new movie,FALSE,Witheringly scornful; severely critical,,,,
FRAGILE,My spirit is strong not fragile,FALSE,Easily broken or damaged,,,,
SCOURGE,The scourge of terrorism must be eliminated,FALSE,A person or thing that causes great trouble or suffering,,,,
FAWN,I earn respect through my work I do not fawn over superiors,FALSE,To give a servile display of exaggerated flattery or affection,,,,
FRAUD,I have zero tolerance for fraud and dishonesty,FALSE,Wrongful or criminal deception intended to result in financial or personal gain,,,,
FATAL,A small mistake can be fatal in a combat zone,FALSE,Leading to failure or disaster,,,,
MORAL,I uphold high moral standards in my personal and professional life,FALSE,Concerned with the principles of right and wrong behavior,,,,
DULL,I keep my mind sharp and active to avoid getting dull,FALSE,Lacking interest or excitement,,,,
JAUNDICE,I do not have a jaundiced view of the world,FALSE,A state of bitterness,or envy,,,
JEER,I am not affected by the jeers of the crowd,FALSE,To make rude and mocking remarks,,,,
LIVELINESS,Liveliness in a group makes work more enjoyable and efficient,FALSE,The quality of being outgoing and full of energy,,,,
MISSION,I am ready to undertake any mission for my country,FALSE,An important assignment given to a person or group of people,,,,
NAG,She kept nagging him to do the household chores,FALSE,To harass someone constantly to do something,,,,
OVERBURDEN,Do not overburden yourself with too much work,FALSE,To give someone a weight or task that is too heavy,,,,
PERIPHERY,He lived on the periphery of the city,FALSE,The outer limits or edge of an area or object,,,,
CHARM,A charming personality helps in winning the cooperation of others,FALSE,The power or quality of giving delight or arousing admiration,,,,
REGRESS,The patient started to regress after the initial improvement,FALSE,To return to a former or less developed state,,,,
SQUEEZE,I can squeeze out good results even from a difficult situation,FALSE,To firmly press something from opposite sides,,,,
PRODIGAL,The prodigal son wasted all his father's money,FALSE,Spending money or resources freely and recklessly,,,,
RELINQUISH,He relinquished his claim to the property,FALSE,To voluntarily cease to keep or claim,,,,
RATIONAL,I make rational decisions based on facts and logic,FALSE,Based on or in accordance with reason or logic,,,,
CRUSH,I can withstand pressure and not get crushed by it,FALSE,To deform pulverize or force inwards by compressing forcefully,,,,
CRAZY,I am crazy about achieving my goals and serving my nation,FALSE,Mentally deranged; mad,,,,
LEECH,I am a contributor,FALSE,not a leech on society,,,,
PREFER,I prefer to work in a team to achieve better results,FALSE,To like one thing or person better than another or others,,,,
SUBMERGE,The submarine submerged into the deep sea,FALSE,To cause to be under water,,,,
PROMISE,I always keep the promises I make,FALSE,A declaration or assurance that one will do a particular thing or that a particular thing will happen,,,,
PACE,I can maintain a steady pace even under pressure,FALSE,A single step taken when walking or running,,,,
STRAY,A stray dog was wandering on the street,FALSE,Not in the right place,,,,
INCONSIDERATE,I am always considerate of others' feelings,FALSE,Thoughtlessly causing hurt or inconvenience to others,,,,
STOIC,He was a stoic who bore his pain without complaint,FALSE,A person who can endure pain or hardship without showing their feelings,,,,
SUBALTERN,He was a subaltern in the army,FALSE,An officer in the British army below the rank of captain,,,,
HICCUP,A minor hiccup in the plan did not deter us,FALSE,An involuntary spasm of the diaphragm and respiratory organs,,,,
INVENT,Necessity is the mother of all inventions,FALSE,To create or design something that has not existed before,,,,
POWER,I use my power and authority with a sense of responsibility,FALSE,The ability to direct or influence the behavior of others,,,,
RUN,I run every morning to maintain my physical stamina,FALSE,To move at a speed faster than a walk never having both or all the feet on the ground at the same time,,,,
SUFFER,I am willing to suffer for a cause that is greater than myself,FALSE,To experience or be subjected to something bad or unpleasant,,,,
DELIRIOUS,I remain in control of my senses and am never delirious,FALSE,In an acutely disturbed state of mind resulting from illness or intoxication,,,,
POTENTATE,The potentate ruled over a vast empire,FALSE,A monarch or ruler,,,,
LEERY,I am leery of strangers who are too friendly,FALSE,Cautious or wary due to realistic suspicions,,,,
PROXY,He voted by proxy as he was out of town,FALSE,The authority to represent someone else,,,,
LATE,I am always punctual and never late for my duties,FALSE,Doing something or taking place after the expected proper or usual time,,,,
PREVAIL,Justice will prevail in the end,FALSE,To prove more powerful than opposing forces,,,,
INNOCENT,My duty is to protect the innocent and punish the guilty,FALSE,Not guilty of a crime or offense,,,,
SNEAK,I am straightforward and do not sneak around,FALSE,To move or go in a furtive or stealthy manner,,,,
OPULENCE,He lived a life of opulence and luxury,FALSE,Great wealth or luxuriousness,,,,
CONVINCE,I can convince my team with logic and sound reasoning,FALSE,To cause someone to believe firmly in the truth of something,,,,
GUN,A gun in the hands of a trained soldier is a tool of protection,FALSE,A weapon incorporating a metal tube from which bullets shells or other missiles are propelled by explosive force,,,,
REVELATION,The revelation of the scam shocked the nation,FALSE,A surprising and previously unknown fact,,,,
STOCK,He had a large stock of food in his house,FALSE,The goods or merchandise kept on the premises of a business,,,,
DIVIDE,A good leader unites people rather than dividing them,FALSE,To separate or be separated into parts,,,,
OVERINDULGE,He overindulged in food and drink at the party,FALSE,To have too much of something enjoyable,,,,
SIMPLE,I believe in simple living and high thinking,FALSE,Easily understood or done; presenting no difficulty,,,,
BARRIER,I see barriers as challenges to be overcome with innovation,FALSE,A fence or other obstacle that prevents movement or access,,,,
SCUTTLE,The crab scuttled across the sand,FALSE,To run hurriedly or furtively with short quick steps,,,,
SWERVE,The car swerved to avoid hitting the dog,FALSE,To change or cause to change direction abruptly,,,,
SKIM,He skimmed through the newspaper,FALSE,To read something quickly or cursorily,,,,
RIGHTEOUS,He was a righteous man who always did the right thing,FALSE,Morally right or justifiable,,,,
ROLE,I am prepared to take on any role assigned to me by my superiors,FALSE,The function assumed or part played by a person or thing in a particular situation,,,,
UPGRADE,I constantly upgrade my skills to stay relevant and effective,FALSE,To raise something to a higher standard in particular to improve,,,,
IRK,Small procedural delays do not irk me,FALSE,To irritate; annoy,,,,
DOLE,I believe in earning my bread and not living on a dole,FALSE,Benefit paid by the state to the unemployed,,,,
GROUNDLESS,My fears are not groundless; they are based on assessment,FALSE,Not based on any good reason,,,,
ATROCITY,I will always fight against any form of atrocity,FALSE,An extremely wicked or cruel act,,,,
CORPSE,Respect for a corpse is a sign of a civilized society,FALSE,A dead body especially of a human being,,,,
OMIT,He omitted to mention a crucial detail in his report,FALSE,To leave out or exclude someone or something,,,,
REMITTANCE,He sent a remittance to his family every month,FALSE,A sum of money sent,in payment,,,
DISORDER,A disciplined approach can bring order to any disorder,FALSE,A state of confusion,,,,
CONFESS,I have the courage to confess my mistakes,FALSE,To admit or acknowledge something reluctantly typically because one feels slightly ashamed or embarrassed,,,,
BLINK,I do not blink in the face of danger,FALSE,To shut and open the eyes quickly,,,,
FLUSTER,I do not get flustered in a crisis and remain calm,FALSE,To make someone agitated or confused,,,,
DISCERN,I can discern the right path from the wrong one,FALSE,To perceive or recognize something,,,,
SLUR,He slurred his words as he was drunk,FALSE,To speak indistinctly so that the sounds run into one another,,,,
INFURIATE,I remain calm and do not get infuriated easily,FALSE,To make someone extremely angry and impatient,,,,
INEXORABLE,The march of time is inexorable; I use my time wisely,FALSE,Impossible to stop or prevent,,,,
HORRENDOUS,The living conditions in the camp were horrendous,FALSE,Extremely unpleasant horrifying or terrible,,,,
PATCH,He had a patch over his injured eye,FALSE,A piece of material used to mend a tear or hole,,,,
INSINCERE,I am always sincere in my dealings with others,FALSE,Not expressing genuine feelings,,,,
PROFESSIONAL,I maintain a professional attitude in all my dealings,FALSE,Relating to or belonging to a profession,,,,
INFECT,I infect my team with my enthusiasm and positivity,FALSE,To affect a person,or cell with a disease-causing organism,,,
WAR,I am trained for war to ensure peace for my country,FALSE,A state of armed conflict between different nations or states or different groups within a nation or state,,,,
PRECLUDE,His poor health precluded him from taking up the job,FALSE,To prevent from happening; make impossible,,,,
HOOK,I am hooked on to my goal of serving the nation,FALSE,A piece of metal or other material curved or bent back at an angle,,,,
DRUDGERY,I find my work interesting and it never feels like drudgery,FALSE,Hard menial or dull work,,,,
OVERKILL,To use a sledgehammer to crack a nut is an overkill,FALSE,Excessive use,or action,,,
POSE,He posed for a photograph with his family,FALSE,To present or constitute a problem,or difficulty,,,
COMPETE,I compete with myself to become a better version every day,FALSE,To strive to gain or win something by defeating or establishing superiority over others,,,,
PODIUM,The winner stood on the podium to receive his medal,FALSE,A small platform on which a person may stand to be seen by an audience,,,,
SIMULACRUM,The statue was a simulacrum of the real person,FALSE,An image or representation of someone or something,,,,
MISAPPLY,He misapplied the funds for his personal use,FALSE,To use something for the wrong purpose or in the wrong way,,,,
SERRATED,The knife had a serrated edge,FALSE,Having or denoting a jagged edge,,,,
PATHETIC,I empathize with those in a pathetic condition and help them,FALSE,Arousing pity especially through vulnerability or sadness,,,,
TARDY,He was tardy for the meeting,FALSE,Delaying or delayed beyond the right or expected time,,,,
SHOPLIFT,He was caught shoplifting in a department store,FALSE,To steal goods from a store while pretending to be a customer,,,,
STAND,I stand by my decisions once I have made them,FALSE,To have or maintain an upright position supported by one's feet,,,,
AFRAID,I am not afraid of taking on difficult responsibilities,FALSE,Feeling fear or anxiety; frightened,,,,
INTRUDE,I do not intrude on others' privacy,FALSE,To put oneself deliberately into a place or situation where one is unwelcome,,,,
RENEGE,He reneged on his promise to help me,FALSE,To go back on a promise,or contract,,,
SPOOR,The hunter followed the spoor of the deer,FALSE,The track or scent of an animal,,,,
POSTHUMOUS,He was awarded the medal posthumously,FALSE,Occurring,or appearing after the death of the originator,,,
QUIVER,His lower lip started to quiver,FALSE,To tremble or shake with a slight rapid motion,,,,
PREVALENT,The disease was prevalent in the tribal areas,FALSE,Widespread in a particular area at a particular time,,,,
ODOR,The foul odor from the garbage was unbearable,FALSE,A distinctive smell,,,,
SERVILE,He had a servile attitude towards his boss,FALSE,Having or showing an excessive willingness to serve or please others,,,,
SOLDER,He soldered the two wires together,FALSE,To join with solder,,,,
DETERMINED,I am determined to achieve my goal of joining the forces,FALSE,Having made a firm decision and being resolved not to change it,,,,
GRIPE,I do not gripe about my problems; I solve them,FALSE,To express a complaint or grievance about something,,,,
CREAK,A well-oiled machine does not creak,FALSE,To make a harsh high-pitched sound when being moved or when pressure is applied,,,,
CONSENT,I take the consent of my team before making a major decision,FALSE,Permission for something to happen or agreement to do something,,,,
YOUNG,I am young and energetic ready to take on any challenge,FALSE,Having lived or existed for only a short time,,,,
SMATTERING,He had a smattering of knowledge on the subject,FALSE,A slight superficial knowledge of a language or subject,,,,
CORRECT,I have the courage to admit when I am not correct,FALSE,Free from error; in accordance with fact or truth,,,,
FUME,I do not fume over small matters and keep my cool,FALSE,To feel show or express great anger,,,,
STUPEFY,The magic trick stupefied the audience,FALSE,To make someone unable to think or feel properly,,,,
TANGENTIAL,His remarks were tangential to the main topic,FALSE,Hardly touching a matter,,,,
REJOICE,I rejoice in the success of my teammates and friends,FALSE,To feel or show great joy or delight,,,,
SLUM,I want to work for the betterment of people living in slums,FALSE,A squalid and overcrowded urban street or district inhabited by very poor people,,,,
SHADOW,I am not afraid of my own shadow or any unknown fear,FALSE,A dark area or shape produced by a body coming between rays of light and a surface,,,,
PURGE,He purged all the corrupt officials from his department,FALSE,To rid someone of an unwanted feeling,or condition,,,
DISHONOR,I will never bring dishonor to my family and country,FALSE,A state of shame or disgrace,,,,
NEEDLE,He needled me with his constant interruptions,FALSE,To provoke or annoy someone by continual criticism or questioning,,,,
POKE,He poked me in the ribs to get my attention,FALSE,To jab someone or something with one's finger or a sharp object,,,,
WAVER,My determination does not waver in the face of challenges,FALSE,To shake with a quivering motion,,,,
FOLLOW,I follow the orders of my seniors with sincerity,FALSE,To go or come after a person or thing preceding in time or space,,,,
TALENT,I use my talents to contribute to the team's success,FALSE,Natural aptitude or skill,,,,
DEGENERATE,I will not let my moral values degenerate,FALSE,Having lost the physical mental or moral qualities considered normal and desirable,,,,
INCENSE,I do not get incensed over trivial matters,FALSE,To make very angry,,,,
SUE,He sued the company for damages,FALSE,To institute legal proceedings against a person or organization,,,,
DEFENSIVE,I have a proactive approach not a defensive one,FALSE,Used or intended to defend or protect,,,,
REVEL,They reveled in their victory all night,FALSE,To enjoy oneself in a lively and noisy way,,,,
SNIDE,He made a snide remark about her weight,FALSE,Derogatory or mocking in an indirect way,,,,
DORMANT,I can awaken the dormant potential in my team members,FALSE,Having normal physical functions suspended or slowed down for a period of time,,,,
LIE,A lie complicates things; truth simplifies them,FALSE,An intentionally false statement,,,,
BANKRUPT,Good financial planning prevents one from going bankrupt,FALSE,Declared in law unable to pay outstanding debts,,,,
STINK,I remove the stink of corruption wherever I see it,FALSE,To have a strong unpleasant smell,,,,
UNPLEASANT,I can handle unpleasant situations with a positive attitude,FALSE,Not pleasant,,,,
EXCESS,I believe in moderation and avoid any excess,FALSE,An amount of something that is more than necessary permitted or desirable,,,,
MANDATORY,Wearing a helmet is mandatory for all two-wheeler riders,FALSE,Required by law or rules,,,,
CRAVE,I crave for challenges that test my limits,FALSE,To feel a powerful desire for something,,,,
PARITY,The two teams played with parity and the match was a draw,FALSE,The state or condition of being equal,,,,
DESPERATE,I am determined not desperate in my efforts,FALSE,Feeling or showing a hopeless sense that a situation is so bad as to be impossible to deal with,,,,
PERSPICACIOUS,He was a perspicacious observer of human nature,FALSE,Having a ready insight into and understanding of things,,,,
TACKY,The tacky decorations spoiled the look of the room,FALSE,Showing poor taste and quality,,,,
RAPPORT,He had a good rapport with his students,FALSE,A close and harmonious relationship,,,,
BUTCHER,I value life and am against the butchering of innocents,FALSE,A person who cuts up and sells meat as a trade,,,,
ROWDY,The rowdy crowd was creating a lot of noise,FALSE,Noisy and disorderly,,,,
DOCILE,I am assertive and not docile in my approach,FALSE,Ready to accept control or instruction; submissive,,,,
GALL,I have the gall to stand up for what is right,FALSE,Bold and impudent behavior,,,,
ENCOURAGE,I encourage my teammates to give their best performance,FALSE,To give support confidence or hope to someone,,,,
MURKY,The water of the pond was murky and dirty,FALSE,Dark and gloomy,,,,
SOB,I am emotionally strong and do not sob over failures,FALSE,To cry noisily taking in deep convulsive breaths,,,,
REITERATE,He reiterated his commitment to the cause,FALSE,To say something again or a number of times,,,,
OBNOXIOUS,His obnoxious behavior made him unpopular,FALSE,Extremely unpleasant,,,,
UNTIDY,I like to keep my things tidy and organized,FALSE,Not arranged neatly and in order,,,,
BEWILDER,I am not bewildered by complex situations and can find clarity,FALSE,To cause someone to become perplexed and confused,,,,
SALLY,The soldiers made a sally from the fort,FALSE,A sudden charge out of a besieged place,,,,
SORE,He had a sore throat,FALSE,Painful or aching,,,,
SHOWDOWN,There was a showdown between the two rival gangs,FALSE,A final test or confrontation,,,,
MALIGN,I will not malign my opponent's character,FALSE,To speak about someone in a spitefully critical manner,,,,
REPUTABLE,He was a reputable businessman with a good record,FALSE,Having a good reputation,,,,
PUSILLANIMOUS,He was too pusillanimous to stand up for his rights,FALSE,Showing a lack of courage or determination,,,,
POUND,He pounded on the door with his fists,FALSE,To strike or hit heavily and repeatedly,,,,
STRAGGLE,The tired soldiers were straggling behind the main group,FALSE,To move along slowly,,,,
EGOTIST,I am a team player not an egotist,FALSE,A person who is excessively conceited or absorbed in themselves,,,,
FULL,I give my full attention and effort to any task I undertake,FALSE,Containing or holding as much or as many as possible; having no empty space,,,,
PAROCHIAL,He had a parochial outlook and was not open to new ideas,FALSE,Having a limited or narrow outlook or scope,,,,
SOUSE,He was soused after drinking the whole bottle,FALSE,Drunk,,,,
BLUNDER,I learn from my blunders and do not repeat them,FALSE,A stupid or careless mistake,,,,
SHAMBLES,The room was in a shambles after the party,FALSE,A state of total disorder,,,,
OVERRIDE,The president can override the decision of the committee,FALSE,To use one's authority to reject or cancel a decision,,,,
INHIBIT,I do not let fear inhibit my performance,FALSE,To hinder,or prevent an action or process,,,
SEIZE,The police seized a large quantity of drugs,FALSE,To take hold of suddenly and forcibly,,,,
PARALYZE,Fear can paralyze but courage gives strength to move,FALSE,To cause a person or part of the body to become partly or wholly incapable of movement,,,,
